tweet	label
In April WHO the @EU_Commission &amp; other partners established the Access to #COVID19 Tools Accelerator to speed up the development &amp; manufacturing of vaccines diagnostics &amp; therapeutics – and to ensure fair &amp; equitable access for all countries-@DrTedros #UNGA #UN75	real
@MeghnaBordikar @BJP4Maharashtra @mahaabvp @Dev_Fadnavis @ChDadaPatil @CMOMaharashtra Central govt's decision to hold #NEET, #JEE exams during #COVID19 pandemic  What is ur opinion on ? As MLA.	opinion
Coronavirus: Only one in 10 to be protected from COVID-19 in first year of vaccine use https://t.co/RjTssQlcWx	real
So Donald Trump wants to pursue a new career as a lying televangelist? He has all the skills &amp; qualifications in my opinion  #trump #donaldtrump #USRaceRiots #USRIOTS #BunkerDon #BunkerBaby #maga #potus #covid19  https://t.co/aPj3ijIN8P	opinion
@Rick_at_WSNZ Kia ora Rick this person is not yet considered recovered. Though it is unusual some cases of COVID-19 can last up to 6 weeks.	real
We share many opinions and views. #coronavirus #COVID19 #follobackforfolloback @COVID19USA  https://t.co/ra2uLqSpLA	opinion
This #Coronavirus could be viewed as case study for climate change. Those that deny or shrug it off are being proven wrong, unfortunately at the expense of others (e.g. Trump). It shows that someone's opinions mean sweet FA when stacked against cold hard facts #auspol #COVID19	opinion
In this edition of our CoronaCheck newsletter: debunked text messages warning of the dangers of ibuprofen and COVID-19 plus those images of a COVID-19 vaccine - they're actually images of a testing kit. https://t.co/LXVgLBL2cK #factcheck #coronavirusfacts #DatosCoronaVirus https://t.co/9IZhiTtBub	fake
John Travolta Back In Hospital https://t.co/XnSSwth9Dc #health #death #coronavirus #johntravolta #pandemic #saturdaynightfever	fake
What do finance leaders see as the main priorities as their organisations prepare for a return to work as #COVID19 restrictions are eased? Read more about their insights and opinions in our latest CFO Pulse survey update.	opinion
EC wants President to seek SC opinion as constitutional deadlock looms after election delay | Daily FT #lka #COVID19 #CoronaOutbreak #coronavirus #SriLanka #COVID19SL #COVID19LK   https://t.co/qU8XXqyotW	opinion
#IndiaFightsCorona #CoronaVirusUpdate With more than 8 lakh average tests every day India scales up #COVID19 testing. Tests Per Million (TPM) now more than 27000. https://t.co/CbWlvNly8T https://t.co/G09RlUc4yE	real
Although we still face many challenges WHO is encouraged by the progress we have made against this new virus in 8 months. With national unity and global solidarity we can and will end the #COVID19 pandemic-@DrTedros	real
As a result of this cooperation by 8am today labs had registered new tests for 64% of the congregation (213 of the 332 people).	real
RT @drharshvardhan: #COVID19 UPDATE 👉A total of 95735 new cases have been reported in the last 24 hours in the country 👉60% of the tota…	real
High-touch shared items of equipment such as thermometers blood pressure cuffs and stethoscopes can spread #coronavirus. https://t.co/O0G5h9yP1u	real
With almost all organizations opting for #WorkFromHome option during the #COVID19 outbreak, we have prepared a short survey poll to understand some details regarding the same.  Take our poll below and share your opinion:   https://t.co/WTTUCWMoVZ   #GeniusConsultants #Poll #WFH	opinion
Opinion: the chaos that keeps emerging in Western countries amid #COVID19 pandemic is mostly because of the wild-growing capital force.  https://t.co/Y58hqrtAru  https://t.co/TOhgxh2Mup	opinion
#Opinion Not only has the #COVID19 pandemic affected men and women differently, it has also affected unequally placed women differently   https://t.co/wUBn6JXQi3	opinion
#MobileAL County Health Officer now giving his opinion. He says he appreciates the discussion being had over #facecoverings   #COVID #COVID19 #coronavirus #Masks #mask  https://t.co/hhAhUkMUYw	opinion
@GunaRockYa Do you think it's possible we'll see something like this out of New Jersey? https://t.co/fCH0Sk3mxR Big transparency win and keeps people from thinking the positive rate for testing is too high! -@alexismadrigal	real
It's the first night of the Republican National Convention. Here's a roundup of recent claims from @realDonaldTrump and other Republicans on COVID-19 the economy and more. https://t.co/4hJvlaWfTZ https://t.co/P7yJAALhKy	fake
If Mitch McConnell tries to push a candidate through, they may release a bio-engineered corona virus from....I dunno...Gyna.	fake
Have a look at our chat with Prof. Jonathan Jansen from The University of Stellenbosch. He gives us his opinion on Education through lockdown, and after.  https://t.co/0zGpihvlaa #cyrilramaphosa #LockdownSA #lockdown #lockDownSouthAfrica #LockdownHouseParty #covid19 #MicDropMedia	opinion
@RepFitzenhagen @LeeCountyFLBOCC @BrianHamman1 PUBLIC OPINION POLL on @tallyEDfl: Do you think federal and state elected officials are responding adequately and appropriately to the #COVID19 pandemic?  Vote:  https://t.co/PxGad7IF2H  YES — 18.1% NO — 80.4% UNDECIDED — 1.5%  326 votes so far. RT to engage more voters!	opinion
Hey guys, have a read. not my view or opinion. Just sharing a true story, an investigation from health authorities in Mexico. #COVID19 #Pfizer  https://t.co/3sHNgmQ2tA	opinion
Recording yet another day with 50000+ new infections India’s confirmed case count crosses 19 lakh. Madhya Pradesh CM Shivraj Singh Chouhan has been discharged from Bhopal’s Chirayu Hospital since he’s recovered from COVID-19. #COVID19 #CoronaVirusUpdates https://t.co/5oXTrDcMfK	fake
Together we have kept COVID out for 102 days - longer than any other country. We can do all of that again. If you’re in Auckland please stay at home with your bubble. Take care. We've got this New Zealand! #COVID19nz	real
📢#CoronaVirusUpdates: ✅India's #COVID19 recovery rate improves to 77.88% as on September 13 2020 📍Steady improvement in India's COVID-19 recovery rate since #lockdown initiation on March 25 2020 #IndiaFightsCorona @ICMRDELHI Via @MoHFW_INDIA https://t.co/MGHUVCmi6X	real
COVID may lead to a generation of lost medical research. https://t.co/PvbLHx1jpq	real
Most of you know this by now but there is a very strong weekend effect that hits on Sundays and Mondays especially in the reporting of COVID-19 deaths. Sundays are highlighted in red below. https://t.co/fpaDhxolj0	real
There are two paths out of this crisis. Which will we choose? @EJDionne quotes @abicadams  research on the impact of #COVID19 on the #labourmarket in his @washingtonpost opinion  https://t.co/E9M5k5zhzo	opinion
567 positive cases and 39 deaths from COVID-19 were recorded in Mali on April 13 2020.	fake
How I wish we had men with balls like this one, doesn't care who gets rattled with his opinion. Masculinity turns me on. Not sissy men who have become feminist.   #edgarobare #Kenya #room306 #BillyNaMbaruk #COVID19 #size8 #djmo #djmoh  #workingfromhome #room406 #school	opinion
Unions like @GoIUPAT are supporting their workers and communities during this pandemic. To build a stronger, more inclusive, and more resilient middle class after this crisis, we must encourage unionization. That starts with enacting the PRO Act. https://t.co/JbZbXnGHfx	fake
The change in the national picture since June 15 when there were less than 19k new cases reported is stunning. But the movement really began in the South in late May. The dot in the right chart is May 29 Memorial Day. https://t.co/CQF8Z66wSc	real
"Govt has totally failed to manage and control #Covid 
From govt we can only expect #ThaaliBajao #LightCandles #Bhabhijikapapaad #Gobar #Cowurine and than use kits and N95 mask made in China. #coronavirus"	fake
Low hanging fruit “maybe”  #PhaseOneCOVID19Deal - as per Mnuchin. This speaks to the major differences of opinion between RS and Ds, regarding the appropriate set of actions required to take on #COVID19	opinion
As of today there are 3793 active #COVID19 cases in #Ahmedabad district #Gujarat: https://t.co/giAlsS3XD7 @MoHFW_INDIA @drharshvardhan @DrHVoffice @CMOGuj @dgpgujarat #COVID__19 #Covid_19 #COVIDー19 #CoronaUpdates #CoronavirusIndia #CoronaVirusUpdates #coronavirus #COVIDUpdates https://t.co/CaKYP6Cce9	real
"The greatest threat to democracy is the concept in some cultures of not ""losing face."" It is the direct opposite of the self honesty that society needs to function, in my opinion.  #COVID19 #auspoI"	opinion
#HealthEquity is when everyone has the opportunity to be as healthy as possible. Learn about the role of culture in your efforts to stop #COVID19: https://t.co/OVro238b8r. https://t.co/DKPAkpBaee	real
This guy has the right opinion on #COVID19 IMO Perspective is the key 🤔	opinion
"The head of NHS Test and Trace Dido Harding says they've seen a ""doubling"" in the number of children under 17 being tested for #coronavirus since schools returned and insists they ""planned for a sizable increase in testing capacity"". Live updates: https://t.co/Z4NT1ej6U3 https://t.co/T7V5VNFF0j"	real
The very popular #WhatsApp advisory allegedly from @tatahealth about #homeMade #COVID19 is #FakeNews . We #FactCheck https://t.co/ckTmgyIE6d	fake
@GovStitt has provided absolutely zero leadership in Oklahoma during the COVID-19 pandemic. Complete negligence in my opinion. #COVID19	opinion
RT @drharshvardhan: The #iGoT pilot model has trained #COVIDwarriors and led India's fight against #coronavirus. #COVID19 #MissionKarmayog…	real
Yesterday our laboratories completed 2061 tests of those 902 were testing of people in managed isolation and quarantine for the routine testing on either days 3 or 12 of their stay. That brings the total number of tests completed to date to 433324.	real
NEWS! Woman decides to stay in lockdown for a few more months after cutting her own hair https://t.co/I3kYyIr03Q https://t.co/Xw6qcWHAfu	fake
Florida also reported a record number of cases today—close to 10k. Florida remains one of the few states that does not report how many people are currently hospitalized. https://t.co/1k6DhZBtew	real
Opinion | With a population of over 94,000, Tibetans are as vulnerable to #COVID19 as others, but Tibet's administration helped curb spread of the virus among those in exile in India, says Tenzing Wangdak.  https://t.co/DHvyVB1MMU	opinion
@Charakan The only way to stop the #COVID19 by #vaccine  not by your opinions and your  articles. So be supportive in nature	opinion
I was bothered by an opinion piece in the #NewYorkTimes where a mom was proud of deliberately terrifying her kids about #COVID19. My 5-year-old just tested positive for the #coronavirus. Here’s what we’re doing to make sure her #Mentalhealth isn’t impacted.  https://t.co/TxVtjeVWAE	opinion
Acc to FAQs on #COVID19 from @aiims_newdelhi e-ICUs parents can stay with their #COVID positive children after explaining the risk and taking consent for the same. #COVID__19 #COVID_19 #COVIDー19 #COVID19India #Corona #coronavirus #CoronavirusIndia #CoronavirusPandemic https://t.co/emofVhpSQ9	real
Video shows President Donald Trump saying COVID-19 is the Democrats’ “new hoax.”	fake
@Gangmonkey1 @Millertime692 At the end of the day, your “opinion” is irrelevant. Trump ran a sham university, bragged about sexual assault, defended neonazis, took advantage of Russian election meddling, failed to respond to #COVID19 and is a global laughing stock. His presidency has weakened the US.	opinion
My article for ⁦@CNNOpinion⁩ is live: “I couldn't breathe -- and I couldn't get tested (opinion) - CNN #COVID19 #COVIDActNow #coronavirus #WritingCommunity #WritersInQuarantine   https://t.co/2wJUnLHcFU	opinion
Businesses please put up your QR codes. If you’re unwell please seek advice for a test. Here is the full update We have identified 29 cases at this stage - all remain linked to one cluster in Auckland.	real
#CoronaVirusUpdates #IndiaFightsCorona India’s total #COVID19 recovered cases are now double the active cases. https://t.co/phzNZiiKPc @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive @airnewsalerts @ICMRDELHI @mygovindia @COVIDNewsByMIB @CovidIndiaSeva	real
@anak2422anak #UttarPradesh Govt. has decided to impose stricter lockdown on weekends as a measure to control coronavirus spread during the month of July. Kindly contact your district surveillance officer and share the details of your trip.	real
The Mass. SJC stood by its opinion that the executive branch, not the courts, has the power to stay sentences during #COVID19, dashing defense groups' hopes that the justices would do more to thin out the state's prison population.    https://t.co/1jibvjSGkm by @be_d	opinion
[#OPINION]: In these dark days, any good news is to be grasped with both hands and relished... #lettertotheeditor #coronavirus #covid19 #petrol #newcastleadvertiser   https://t.co/pFTjKS2wOa	opinion
Under the influence of hot weather i.e. high air temperature the number of patients with coronavirus was supposed to decrease. The novel coronavirus if it even exists dies under the high temperature.	fake
President Donald Trump claims he “didn't say that” some of the medical equipment that governors are requesting they don't actually need.	fake
@RBot0 @brianstelter @Al_Saulinsky Not sure if not wearing a mask disqualifies me from being a decent person or not. It's not like I intentionally swerve to run over squirrels or anything of the like. That's the nice thing about this platform, both of our opinions are right. #MasksSaveLives #NoMasks #COVID19	opinion
Opinion | Trump detonates a truth bomb in the Georgia Senate races  https://t.co/XiJNHL5NIj   #Georgia .@GAFollowers .@GeorgiaDemocrat .@universe2519 .@Atlanta #MAGA #GOP  .@Georgia:   #Vote #Democratic TO HELP #BidenHarris    #BuildBackBetter After #Trump #COVID19 Failures	opinion
Opinion:The Catholic Church Is Riddled With Pedophiles. #Italy #CatholicChurch #COVID19 #CoronaLockdown #CoronaVillains #ItalyCoronavirus  https://t.co/5vzqeiciuo	opinion
In Italy, 232 children have died from COVID-19	fake
While behaviour, drugs, and vaccine will give an exit from #COVID19, strive for a new route to recovery, prosperity  #Opinion by K Vijay Raghavan   https://t.co/iSbXbdlXzZ	opinion
What do we do with the positives?  https://t.co/39xS8w32In #coronavirus #Opinion #COVID19 #TC	opinion
Are you recovering from #COVID19? Do you care for a patient who is? We want to hear about your experiences and opinions on what #NHS rehabilitation services should include. Find out more and get involved:  https://t.co/lmSZ7oSH7r @Dr_E_Walker #PPI	opinion
We are pleased to announce the inclusion of the 26th lab to the national #COVID19 Laboratory Network: Accunalysis Diagnostic Centre Anambra In progress: Katsina Kwara &amp; Gombe Read our FAQs on #COVID19 Diagnostics https://t.co/mpzeLuSwx5 #TakeResponsibility https://t.co/b3pMa4dNbn	real
Opinion | Here are the Trump administration’s four most profound failures in the pandemic - The Washington Post ⁦@MJGerson⁩ #COVID19   https://t.co/tfIt5192G8	opinion
How do we stop widening inequalities becoming the most enduring impact of #COVID19 ? An opinion  https://t.co/qwkyTgkafX via @LinkedIn	opinion
Mosquitoes can transfer COVID-19 “from person to person”.	fake
This weekends poll   Do you think that #Coronavirus  #Covid19 is a bio weapon developed by China? Retweet this and give your opinion. I have my own ideas and I want to know what everyone else thinks.	opinion
...that I'm seeing right now, and that applies to people at both ends of that spectrum.  The ones saying it's just the sniffles are, in my opinion, just as crazy as the ones saying it's the end of the world, and vice versa. #COVID19 #COVID19US	opinion
#CoronaVirusUpdates: 📍Total #COVID19 Cases in India (as on September 14 2020) ▶️78.00% Cured/Discharged/Migrated (3780107) ▶️20.36% Active cases (986598) ▶️1.64% Deaths (79722) Total COVID-19 confirmed cases = Cured/Discharged/Migrated+Active cases+Deaths https://t.co/Yu5IB4V66L	real
"""WHO has changed its rules to call the coronavirus situation a pandemic."" - Dr. Jaroslav Belsky."	fake
"China happy that all this Huawei business is distracting from their genocide

https://t.co/UoIPnkhCnr #HuaweiWatchGT2 #ChinaCoronaVirus #corononavirus https://t.co/p5jhShy7cK"	fake
_A post shared more than 160000 times on Facebook during the novel coronavirus pandemic says Bill Gates wants ???digital tattoos??� to check who has been tested and asks if it would be ???like holocaust victims have.??�_	fake
God Has Coronavirus https://t.co/7Nh5G7mEqw #religion #god #coronavirus	fake
Children under 18 years represent about 8.5% of reported #COVID19 cases with few deaths compared to other age groups &amp; usually mild disease. 👉 https://t.co/Cs7uxQRRMN https://t.co/l4gqfttYmg	real
Government announces four more weeks of lockdown for Britain and 44 more weeks of lockdown for Priti Patel https://t.co/MMFHqZs7Lo https://t.co/6chp0uA0gS	fake
COVID-19 Update There are 13 new cases of COVID-19 today. 2 are imported cases in managed isolation and 11 cases are in the community.	real
Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks “everywhere.”	fake
"The new coronavirus ""causes sudden death syndrome."""	fake
“A pandemic can make us realize we are all truly connected here at home and across the whole world.” CDC #diseasedetective Rachael Zacks deployed to Seattle to test one of the United States’ first-known #COVID19 patients. Her story: https://t.co/Z9K0ShXJ1g. https://t.co/eSncAU4sXf	real
#OPINION: After being hit by several typhoons, ravaged by #COVID19 and impacted by #US electoral politics, #SouthKorea and #NorthKorea may try to fix their bilateral problems during the coming months, writes @tkarasik  https://t.co/OJGOGJSKgF	opinion
Don’t put family at risk for #COVID19 by visiting them in person. Call grandparents or invite them to a video chat. Keep your loved ones safe by staying connected while physically distant: https://t.co/0D99fLmeyc. #PhysicalDistance #TogetherAlone https://t.co/plXt2ULaiA	real
In my opinion: the #coronavirus #covid19 #chinavirus became more insane then last week. #solutionhurtsmorethenthecause	opinion
From Masks to Asymptomatic transmission. Is the position of @WHO lagging behind scientific opinion? #COVID19  https://t.co/Kk39k2b3Ad	opinion
PM Narendra Modi has spoken to the Chief Ministers of seven states to discuss COVID-19 situation. With over 8000 new infections reported in the last 24 hours Maharashtra’s total COVID-19 tally has crossed the 3 lakh mark. #coronavirus #coronavirusFacts https://t.co/VymEC4oM3f	fake
Louisiana has delayed its primary election date due to recent outbreaks of COVID-19. Staff reporter Dylan Meche shared why he thinks Louisiana did the right thing in pushing back the date. Read Dylan’s article below.   https://t.co/isLvqL6Quw #opinion #louisianaprimaries #COVID19	opinion
RT @CDCtravel: CDC is helping travelers understand the #COVID19 risk in each country. Before you make travel plans check the COVID-19 risk…	real
Also (obvious typo) correction on the first tweet: We've tracked 11.5 million tests not 1.5 million! -@alexismadrigal Here's a bonus cumulative chart. https://t.co/Je1grs0weu	real
???I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.??�	fake
Govt. of Nigeria is restricting entry into the country for travellers from: China Italy Iran South Korea Spain Japan France Germany United States of America Norway United Kingdom Netherlands &amp; Switzerland These are countries with &gt; 1000 cases domestically	real
#Coronavirus: People in Scotland have been banned from visiting other households indoors as #COVID19 rules are tightened https://t.co/yvWOkgBq0Q	real
"@rsprasad @manishbjym01 @BJP4Bihar @Bjympatna @NitinNabin @schaurasiabjp @nkishoreyadav @News18Bihar @ZeeBiharNews @ravindrak2000 @amitabhnews18 Any plan to reopen society MUST be driven by data, science &amp; experts, not opinion &amp; politics.  We will learn from warning signs of other countries.  ""Prevention"" Test to quickly identify carriers, hot spots, seal/isolate &amp; help recovery. Improve Govt hospitals for severe #Covid19"	opinion
WHO backtracked and released a document stating masks are not efficient to protect healthy people against COVID-19.	fake
Instant Opinion: Boris Johnson ‘mired in mixed messages’ over Christmas lockdown, The Week #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...  https://t.co/IpPoWBdHcJ	opinion
#OPINION | Indeed, almost every Constitutional debate was centred around social and economic inequality. But what was relegated to the realm of pundits in the post-reform era has now become impossible to ignore in the #COVID19 moment, writes @gsvasu_TNIE.   https://t.co/ur8V0pA3jz	opinion
While the percentage of lab specimens testing positive for #COVID19 decreased nationally from last week the latest #COVIDView report notes slight increases in the Southeast and Pacific Northwest. Learn more: https://t.co/zP4VYlo0Pb https://t.co/LBHnEiyhV2	real
@TruthSp01978317 @JamesLynchGTC @RoddeLouis @BethEdw99526153 @BBCNWT Send her data She must have some by now  Without data, her opinion is just that - opinion  #COVID19  https://t.co/VGYzRvH9Er	opinion
Bolton sees another sharp rise in #coronavirus infections - with 192 new cases per 100000 people https://t.co/HKsB736u62	real
We can no longer wring our hands and say something must be done. It’s time for countries to get their hands dirty and build the public health systems to ensure a pandemic of this magnitude and severity never happens again-@DrTedros #AWorldInDisorder https://t.co/OShhzy6upf	real
_Kenya's 2022 general elections have been postponed by five years until 2027 and the government will use the election budget to fight coronavirus._	fake
@JessfromW @BorisJohnson @MattHancock @piersmorgan @10DowningStreet @MailOnline Definitely Jess! They are the last ones that should be expressing opinions on how other Countries are handling #COVID19 #CoronaVirus !  It's all of us that should be chapping on @China 's door!	opinion
@DayTimeTony @MSANNCOOPER @LBC @IainDale @Iromg @talkRADIO @JuliaHB1 @thetimes Continuing to express your opinion instead of appeasing you Corporate Sponsors is a fine balance, but @JuliaHB1 was doing it increasingly more during the whole #COVID19 #Plandemic. Said it at the time, sometimes she is Very Confident about what she says, other times its forced	opinion
It seems to me that people—both in Mexico and in Austin—are so fed up with the isolation that they have decided to just break the quarantine and go out as if the #COVID19  isn't there anymore.  Not the best decision in my opinion.	opinion
Claim: India’s case growth will peak by early May and reduce to 0 by May 16 said V.K. Paul of COVID-19 Empowered Group 1 on April 24. Fact: 53 days since a countrywide #lockdown cases have risen by &gt;3000/day for a week https://t.co/HZAmkZFIRk	fake
UPDATE ➡️Deaths registered in England &amp; Wales for the week ending 3 July 2020 released by @ONS ➡️Using this data we present updated estimates of expected deaths &amp; excess non-COVID-19 deaths during the #COVID19 pandemic 🔰Read full report https://t.co/tZchlfBxTg https://t.co/mD4IpP8Qvm	real
Getting Texas antigen test results into public view has been a tangled process and we’re very glad to see them. The @houstonchron reported on the whole story last weekend: https://t.co/aZL1Yt1QPF	real
Latest update from @minhealthnz: It is now 24 days since the last new case of COVID-19 was reported in New Zealand and there are no active cases to report.  Our total number of confirmed cases remains at 1154 which is the number we report to the World Health Organization https://t.co/nwH1lhBppv	real
Report: Outbreak of idiocy spreading 10,000 times faster than coronavirus #coronavirus https://t.co/YapqKVDNCj	fake
South Dakota is the only state left in the US that has NOT issued stay at home orders or social distancing orders. South Dakota must act now to avoid hospital overloads. https://t.co/dEudNLeMwS https://t.co/phe7bbv9mR	real
Noimot Salako Ogun state deputy governor claimed her state deployed Africa’s first mobile COVID-19 testing lab.	fake
#CoronaVirusUpdates: #COVID19 testing status update: @ICMRDELHI stated that 64392594 samples tested upto September 20 2020 731534 sample tested on September 20 2020 #StaySafe #IndiaWillWin https://t.co/Ksq8BhBpYL	real
On our Commentary Page this morning, opinion regular @RELandis writes: Here’s why the #COVID19 pandemic should force a rethink on Pa.’s income tax  https://t.co/nlErJmUCex via @penncapitalstar #PaPolitics	opinion
A lot of the improvement is the slow easing of the situation in New York. It is worth noting that improvement is not even. In some states the situation is not improving. For example: https://t.co/xuWU1QBZce	real
_A team of medical trainees from JKUAT (a university in Kenya) have developed and tested a vaccine successfully._	fake
@BloomPringle Interesting question! My personal opinion is OLT is an urgent procedure that needs to be done. But also brings the question of potentially unidentified COVID infected organ donor 🤔🤷‍♂️ #livertwitter #COVID19	opinion
Claim: India began screening passengers from #COVID19-affected countries before it had a single case:PM Modi Fact: The govt mandated universal screening of all international flights only on March 4 by when 27 cases had been detected across 5 Indian states https://t.co/2cAogENFur	fake
RT @ProfAkinAbayomi: #COVID19Lagos Updates 🔲Lagos confirms12 new cases of #COVID19 🔲#COVID19Lagos cases rises to 44 as @ 8.39pm on 26th Ma…	real
